name,yahoo_symbol,exchange
AAVE,AAVE-USD,CRYPTO
ADA,ADA-USD,CRYPTO
ALGO,ALGO-USD,CRYPTO
APE,APE-USD,CRYPTO
ATOM,ATOM-USD,CRYPTO
AVAX,AVAX-USD,CRYPTO
BCH,BCH-USD,CRYPTO
BNB,BNB-USD,CRYPTO
BTC,BTC-USD,CRYPTO
DASH,DASH-USD,CRYPTO
DOGE,DOGE-USD,CRYPTO
DOT,DOT-USD,CRYPTO
EGLD,EGLD-USD,CRYPTO
EOS,EOS-USD,CRYPTO
ETC,ETC-USD,CRYPTO
ETH,ETH-USD,CRYPTO
FIL,FIL-USD,CRYPTO
FLOW,FLOW-USD,CRYPTO
HBAR,HBAR-USD,CRYPTO
ICP,ICP-USD,CRYPTO
KSM,KSM-USD,CRYPTO
LINK,LINK-USD,CRYPTO
LTC,LTC-USD,CRYPTO
MANA,MANA-USD,CRYPTO
NEAR,NEAR-USD,CRYPTO
RUNE,RUNE-USD,CRYPTO
SAND,SAND-USD,CRYPTO
SOL,SOL-USD,CRYPTO
THETA,THETA-USD,CRYPTO
TRX,TRX-USD,CRYPTO
VET,VET-USD,CRYPTO
XLM,XLM-USD,CRYPTO
XRP,XRP-USD,CRYPTO
XTZ,XTZ-USD,CRYPTO
ZEC,ZEC-USD,CRYPTO
